batch_size,sequence_length,dim_size,active_heads,active_ffn,avg_latency,std_latency
16,128,4096,1,256,116.29529571533203,0.04755765587941367
16,128,4096,1,512,116.3284896850586,0.0465253144539399
16,128,4096,1,1024,116.35617294311524,0.02940196878060902
16,128,4096,1,1536,116.3277359008789,0.04475395158409306
16,128,4096,1,2048,116.34868469238282,0.03341887494290465
16,128,4096,1,2560,116.38247299194336,0.04116746100805899
16,128,4096,1,3072,116.39446640014648,0.018337874444550553
16,128,4096,1,3584,116.37018356323242,0.0418792393606492
16,128,4096,1,4096,116.39582672119141,0.02320459690908231
16,128,4096,1,4608,116.40170822143554,0.02065018327986942
16,128,4096,1,5120,116.39539184570313,0.030218232834918812
16,128,4096,1,5632,116.52734756469727,0.051984687886259984
16,128,4096,1,6144,116.49616088867188,0.0872365412356657
16,128,4096,1,6656,116.45807037353515,0.06769216117000963
16,128,4096,1,7168,116.49560241699218,0.04622528699131684
16,128,4096,1,7680,116.52807693481445,0.05063965184929251
16,128,4096,1,8192,116.47145309448243,0.03648732949314429
16,128,4096,1,8704,116.50504608154297,0.08715361709978046
16,128,4096,1,9216,116.49761962890625,0.03244901377286101
16,128,4096,1,9728,116.55191650390626,0.13815121700214766
16,128,4096,1,10240,116.47151794433594,0.014027386942005294
16,128,4096,1,10752,116.47106170654297,0.037359746245049744
16,128,4096,2,256,116.44103546142578,0.017381256481241975
16,128,4096,2,512,116.53961181640625,0.02214492974433329
16,128,4096,2,1024,116.46029739379883,0.013008527307409139
16,128,4096,2,1536,116.46802978515625,0.037423094634258185
16,128,4096,2,2048,116.49582366943359,0.026093031716668384
16,128,4096,2,2560,116.52756042480469,0.06951090847983692
16,128,4096,2,3072,116.5043228149414,0.050625027117346635
16,128,4096,2,3584,116.54056930541992,0.12040200016580885
16,128,4096,2,4096,116.50557708740234,0.023914478269335033
16,128,4096,2,4608,116.56192626953126,0.06789301029551291
16,128,4096,2,5120,116.47283248901367,0.027062549563849396
16,128,4096,2,5632,116.525048828125,0.049392844769416806
16,128,4096,2,6144,116.46162872314453,0.02145128742088952
16,128,4096,2,6656,116.45764846801758,0.01544056816963635
16,128,4096,2,7168,116.55528335571289,0.041926328369076685
16,128,4096,2,7680,116.49177322387695,0.043089118801002024
16,128,4096,2,8192,116.47789764404297,0.042445755483138455
16,128,4096,2,8704,116.50275650024415,0.08552918670752976
16,128,4096,2,9216,116.45112457275391,0.037383477467668604
16,128,4096,2,9728,116.52730560302734,0.08448103073537051
16,128,4096,2,10240,116.5227767944336,0.03345491976068293
16,128,4096,2,10752,116.48664627075195,0.11502130047522378
16,128,4096,3,256,116.44466781616211,0.041945949904375085
16,128,4096,3,512,116.46275482177734,0.032095365496168676
16,128,4096,3,1024,116.44942855834961,0.052281921042464485
16,128,4096,3,1536,116.45918426513671,0.06142851775294715
16,128,4096,3,2048,116.50753936767578,0.04956260531242614
16,128,4096,3,2560,116.50967636108399,0.018926044518009645
16,128,4096,3,3072,116.53454055786133,0.036835070934663386
16,128,4096,3,3584,116.4591194152832,0.0297757739881125
16,128,4096,3,4096,116.56071090698242,0.0397952214694886
16,128,4096,3,4608,116.48222122192382,0.023785595492942287
16,128,4096,3,5120,116.49074249267578,0.04484805011734138
16,128,4096,3,5632,116.44691543579101,0.0301936300218109
16,128,4096,3,6144,116.50955581665039,0.04866651472342764
16,128,4096,3,6656,116.43612823486328,0.044217011094021985
16,128,4096,3,7168,116.4885467529297,0.026285895626955047
16,128,4096,3,7680,116.43097839355468,0.03724866950175949
16,128,4096,3,8192,116.53262100219726,0.05669978789019406
16,128,4096,3,8704,116.47331161499024,0.03522896753880118
16,128,4096,3,9216,116.52614364624023,0.04831201169350644
16,128,4096,3,9728,116.46448669433593,0.03489762349142237
16,128,4096,3,10240,116.49824981689453,0.07870498420550123
16,128,4096,3,10752,116.47561416625976,0.032766625902588484
16,128,4096,4,256,116.51563186645508,0.08365070360405796
16,128,4096,4,512,116.52563552856445,0.03858019964261718
16,128,4096,4,1024,116.55292739868165,0.08772028178140973
16,128,4096,4,1536,116.4306884765625,0.034290317548555764
16,128,4096,4,2048,116.56016006469727,0.053922570698654644
16,128,4096,4,2560,116.4930404663086,0.055862590223759355
16,128,4096,4,3072,116.5203842163086,0.04291007004266031
16,128,4096,4,3584,116.44113693237304,0.03258513851429208
16,128,4096,4,4096,116.50420455932617,0.050619487086302754
16,128,4096,4,4608,116.44682922363282,0.04934181545524337
16,128,4096,4,5120,116.53241958618165,0.06767503694043119
16,128,4096,4,5632,116.47072372436523,0.04349672576046234
16,128,4096,4,6144,116.44995803833008,0.03415889217226864
16,128,4096,4,6656,116.48884735107421,0.07142590213535396
